,SNo,Description,pathalias,geo_is_public,o_width,url_s,place_id,url_sq,media_status,longitude,o_height,owner,width_sq,id,height_t,url_t,title,woeid,views,geo_is_friend,geo_is_contact,datetaken,farm,secret,latitude,accuracy,isfamily,machine_tags,media,height_sq,tags,isfriend,datetakengranularity,datetakenunknown,geo_is_family,dateupload,width_n,width_o,width_l,width_m,url_z,license,height_c,height_l,height_m,height_n,ispublic,height_o,width_c,url_q,server,url_o,url_n,url_m,url_l,width_z,height_q,context,height_s,width_t,url_c,width_s,height_z,width_q
10,10.0,,,1,,https://farm6.staticflickr.com/5531/29966867764_0df4cc3e90_m.jpg,mWKdSChUV7KCegqiPA,https://farm6.staticflickr.com/5531/29966867764_0df4cc3e90_s.jpg,ready,32.855870,,113977156@N05,75,29966867764,100,https://farm6.staticflickr.com/5531/29966867764_0df4cc3e90_t.jpg,upload,55865370,0,0,0,2016-10-27 06:13:27,6,0df4cc3e90,39.967279,16,0,uploaded:by=instagram,photo,75,instagramapp square squareformat iphoneography uploaded:by=instagram,0,0,1,0,1477574007,256,750,750,400,https://farm6.staticflickr.com/5531/29966867764_0df4cc3e90_z.jpg,0,800,937,500,320,1,937,640,https://farm6.staticflickr.com/5531/29966867764_0df4cc3e90_q.jpg,5531,https://farm6.staticflickr.com/5531/29966867764_9715827f2b_o.jpg,https://farm6.staticflickr.com/5531/29966867764_0df4cc3e90_n.jpg,https://farm6.staticflickr.com/5531/29966867764_0df4cc3e90.jpg,https://farm6.staticflickr.com/5531/29966867764_0df4cc3e90_b.jpg,512,150,0,240,80,https://farm6.staticflickr.com/5531/29966867764_0df4cc3e90_c.jpg,192,640,150
11,11.0,,,1,,https://farm9.staticflickr.com/8618/30562209346_b7b938729c_m.jpg,fRz9ys5VVrofPbM,https://farm9.staticflickr.com/8618/30562209346_b7b938729c_s.jpg,ready,-46.186570,,104705518@N03,75,30562209346,84,https://farm9.staticflickr.com/8618/30562209346_b7b938729c_t.jpg,#VaiMogi #MogiBasquete🏆 #TOF💀 #PaulistaDeBasquete2016,440495,0,0,0,2016-10-27 06:13:05,9,b7b938729c,-23.513459,16,0,uploaded:by=instagram,photo,75,instagramapp square squareformat iphoneography uploaded:by=instagram,0,0,1,0,1477573985,320,1080,1024,500,https://farm9.staticflickr.com/8618/30562209346_b7b938729c_z.jpg,0,672,860,420,269,1,907,800,https://farm9.staticflickr.com/8618/30562209346_b7b938729c_q.jpg,8618,https://farm9.staticflickr.com/8618/30562209346_69635cefb1_o.jpg,https://farm9.staticflickr.com/8618/30562209346_b7b938729c_n.jpg,https://farm9.staticflickr.com/8618/30562209346_b7b938729c.jpg,https://farm9.staticflickr.com/8618/30562209346_b7b938729c_b.jpg,640,150,0,202,100,https://farm9.staticflickr.com/8618/30562209346_b7b938729c_c.jpg,240,538,150
12,12.0,"View of Sydney shot from a weather station on top of the Mathews building at the University of New South Wales, Kensington. Shot taken by the Climate Change Research Centre (<a href=""http://ccrc.unsw.edu.au"" rel=""nofollow"">ccrc.unsw.edu.au</a>) at 2016 Oct 28 00:13.",ccrc_weather,1,,https://farm6.staticflickr.com/5528/29966860014_9da0939fa4_m.jpg,OCzQIH5QU7qiMq6c,https://farm6.staticflickr.com/5528/29966860014_9da0939fa4_s.jpg,ready,151.234699,,132153736@N04,75,29966860014,75,https://farm6.staticflickr.com/5528/29966860014_9da0939fa4_t.jpg,Sydney 2016 Oct 28 00:13,1107128,0,0,0,2016-10-28 00:12:53,6,9da0939fa4,-33.917714,16,0,,photo,75,ccrcweather weatherstation aws unsw kensington sydney australia automatic outdoor sky 2016 oct night,0,0,0,0,1477573983,320,2592,1024,500,https://farm6.staticflickr.com/5528/29966860014_9da0939fa4_z.jpg,4,600,768,375,240,1,1944,800,https://farm6.staticflickr.com/5528/29966860014_9da0939fa4_q.jpg,5528,https://farm6.staticflickr.com/5528/29966860014_a3bc20082a_o.jpg,https://farm6.staticflickr.com/5528/29966860014_9da0939fa4_n.jpg,https://farm6.staticflickr.com/5528/29966860014_9da0939fa4.jpg,https://farm6.staticflickr.com/5528/29966860014_9da0939fa4_b.jpg,640,150,0,180,100,https://farm6.staticflickr.com/5528/29966860014_9da0939fa4_c.jpg,240,480,150
13,13.0,,renmeleon,1,,https://farm6.staticflickr.com/5679/30510685301_f20f9de73d_m.jpg,txLtZFpTVrIr.spG,https://farm6.staticflickr.com/5679/30510685301_f20f9de73d_s.jpg,ready,-84.328630,,71692011@N00,75,30510685301,100,https://farm6.staticflickr.com/5679/30510685301_f20f9de73d_t.jpg,#Christmas this year is #Danish #inspired for our new hometown. #Berea #Kentucky has a lot of Danish influence and I'm doing a #fundraiser #catalog for the #BereaFestivalDancers group that @rockpaperfox belongs to. 50% of the profits from the catalog will,2480896,0,0,0,2016-10-27 09:12:55,6,f20f9de73d,37.737647,16,0,uploaded:by=instagram,photo,75,instagramapp square squareformat iphoneography uploaded:by=instagram reyes,0,0,1,0,1477573975,320,1080,1024,500,https://farm6.staticflickr.com/5679/30510685301_f20f9de73d_z.jpg,0,800,1024,500,320,1,1080,800,https://farm6.staticflickr.com/5679/30510685301_f20f9de73d_q.jpg,5679,https://farm6.staticflickr.com/5679/30510685301_13cecbb2d7_o.jpg,https://farm6.staticflickr.com/5679/30510685301_f20f9de73d_n.jpg,https://farm6.staticflickr.com/5679/30510685301_f20f9de73d.jpg,https://farm6.staticflickr.com/5679/30510685301_f20f9de73d_b.jpg,640,150,0,240,100,https://farm6.staticflickr.com/5679/30510685301_f20f9de73d_c.jpg,240,640,150
14,14.0,"In 1927, what is pretty recent, the city &quot;Borgo San Donnino&quot; changed it´s name to &quot;Fidenza&quot;, as in Roman times it was known as &quot;Fidentia Julia&quot;.

The city was named and the Duomo inside the walls was dedicated to San Donnino di Fidenza (aka &quot;Domninus of Fidenza&quot;), who was martyred nearby in 291.

Sigeric the Serious, Archbishop of Canterbury, made the pilgrimage to Rome following the Via Francigena around 990. His contemporary records of this journey still exist (and are source for the modern guide books). He reached &quot;Sce Domnine&quot; after 36 days, what is pretty fast for more than 1000kms.

The erection of the Cattedrale di San Donnino started in the 11th century, the first consecration took place in 1106, though the building process continued. From around 1200 on Master Benedetto Antelami and his workshop worked here, not only as Master masons. Antelami may as well be the architect of the facade.

Frederick Barbarossa had entrusted &quot;Borgo San Donnino&quot; to the Pallavicino family of Piacenza. In 1268 - after a siege - the city was conquered by the troops of Parma, who looted and burnt down it completely. All houses got destroyed at that time just the Duomo was saved, but it was not completed at that time. The building process came to a stop - and was never continued. 

Three episodes of life and death of San Donnino are over the central portal. In the center is the beheading of the saint, who after becoming a martyr that way became a kephalophor as well, as he carried away his won head, just like Saint-Denis, Saint Solange and many others.

The archivolt is populated by dwarfs (?).",martin-m-miles,1,3550,https://farm9.staticflickr.com/8618/30299049700_7dbd7ec638_m.jpg,3C3bAv1WU7.WIf4,https://farm9.staticflickr.com/8618/30299049700_7dbd7ec638_s.jpg,ready,10.057604,2636,42038165@N02,75,30299049700,74,https://farm9.staticflickr.com/8618/30299049700_7dbd7ec638_t.jpg,Fidenza - Cattedrale di San Donnino,715438,0,0,0,2015-10-01 00:00:00,9,7dbd7ec638,44.866532,16,0,,photo,75,fidenza duomodifidenza cattedraledisandonnino fidenzacathedral borgosandonnino domninusoffidenza sigerictheserious viafrancigena benedettoantelami antelami barbarossa pallavicino cephalophore kephalophor emiliaromagnaitaly,0,4,0,0,1477574004,320,3550,1024,500,https://farm9.staticflickr.com/8618/30299049700_7dbd7ec638_z.jpg,0,594,760,371,238,1,2636,800,https://farm9.staticflickr.com/8618/30299049700_7dbd7ec638_q.jpg,8618,https://farm9.staticflickr.com/8618/30299049700_1e46a59945_o.jpg,https://farm9.staticflickr.com/8618/30299049700_7dbd7ec638_n.jpg,https://farm9.staticflickr.com/8618/30299049700_7dbd7ec638.jpg,https://farm9.staticflickr.com/8618/30299049700_7dbd7ec638_b.jpg,640,150,0,178,100,https://farm9.staticflickr.com/8618/30299049700_7dbd7ec638_c.jpg,240,475,150
15,15.0,,,1,,https://farm6.staticflickr.com/5348/30299049360_264063cfbe_m.jpg,mWKdSChUV7KCegqiPA,https://farm6.staticflickr.com/5348/30299049360_264063cfbe_s.jpg,ready,32.855870,,113977156@N05,75,30299049360,100,https://farm6.staticflickr.com/5348/30299049360_264063cfbe_t.jpg,upload,55865370,0,0,0,2016-10-27 06:12:50,6,264063cfbe,39.967279,16,0,uploaded:by=instagram,photo,75,instagramapp square squareformat iphoneography uploaded:by=instagram,0,0,1,0,1477573970,320,750,750,500,https://farm6.staticflickr.com/5348/30299049360_264063cfbe_z.jpg,0,,750,500,320,1,750,,https://farm6.staticflickr.com/5348/30299049360_264063cfbe_q.jpg,5348,https://farm6.staticflickr.com/5348/30299049360_56e45e863f_o.jpg,https://farm6.staticflickr.com/5348/30299049360_264063cfbe_n.jpg,https://farm6.staticflickr.com/5348/30299049360_264063cfbe.jpg,https://farm6.staticflickr.com/5348/30299049360_264063cfbe_b.jpg,640,150,0,240,100,,240,640,150
16,16.0,,rikkedarling,1,750,https://farm6.staticflickr.com/5700/30510684071_1d5661ed2b_m.jpg,YFvBGfRTUrhhQWTyeA,https://farm6.staticflickr.com/5700/30510684071_1d5661ed2b_s.jpg,ready,12.568300,750,34916786@N07,75,30510684071,100,https://farm6.staticflickr.com/5700/30510684071_1d5661ed2b_t.jpg,"New abstract painting. ""Amethyst Chrystal"". Size 80x80 cm.  Artist Rikke Darling. www.rikkedarling.com #nordic #nordicstyle #companyart #copenhagen #denmark #art #arte #artist #artwork #artistrikkedarling #rikkedarling #artgallery #galleri #gallery #maler",20229497,0,0,0,2016-10-27 15:12:49,6,1d5661ed2b,55.676100,16,0,uploaded:by=instagram,photo,75,instagramapp square squareformat iphoneography uploaded:by=instagram,0,0,1,0,1477573969,320,750,750,500,https://farm6.staticflickr.com/5700/30510684071_1d5661ed2b_z.jpg,0,,750,500,320,1,750,,https://farm6.staticflickr.com/5700/30510684071_1d5661ed2b_q.jpg,5700,https://farm6.staticflickr.com/5700/30510684071_2d6662f860_o.jpg,https://farm6.staticflickr.com/5700/30510684071_1d5661ed2b_n.jpg,https://farm6.staticflickr.com/5700/30510684071_1d5661ed2b.jpg,https://farm6.staticflickr.com/5700/30510684071_1d5661ed2b_b.jpg,640,150,0,240,100,,240,640,150
17,17.0,,dfunlife,1,,https://farm6.staticflickr.com/5507/29965024863_8dcf49c3cb_m.jpg,h0tmQDpUVL9nBAGk_A,https://farm6.staticflickr.com/5507/29965024863_8dcf49c3cb_s.jpg,ready,-77.583224,,67467348@N06,75,29965024863,100,https://farm6.staticflickr.com/5507/29965024863_8dcf49c3cb_t.jpg,#dfunlife #rochester #brooklyn #nyc #ny #switzerland #israel #positive #meditation Check it out. Some of my b&w street photography large aluminum prints. #photography #photographer #metalprints #display #large,56562733,0,0,0,2016-10-27 06:12:47,6,8dcf49c3cb,43.155516,16,0,uploaded:by=instagram,photo,75,instagramapp square squareformat iphoneography uploaded:by=instagram,0,0,1,0,1477573967,256,1080,820,400,https://farm6.staticflickr.com/5507/29965024863_8dcf49c3cb_z.jpg,0,800,1024,500,320,1,1349,641,https://farm6.staticflickr.com/5507/29965024863_8dcf49c3cb_q.jpg,5507,https://farm6.staticflickr.com/5507/29965024863_84af768784_o.jpg,https://farm6.staticflickr.com/5507/29965024863_8dcf49c3cb_n.jpg,https://farm6.staticflickr.com/5507/29965024863_8dcf49c3cb.jpg,https://farm6.staticflickr.com/5507/29965024863_8dcf49c3cb_b.jpg,513,150,0,240,80,https://farm6.staticflickr.com/5507/29965024863_8dcf49c3cb_c.jpg,192,640,150
18,18.0,,tiltti,1,,https://farm6.staticflickr.com/5323/30598935695_41d6cedfce_m.jpg,gEGTNx1TV7Nd2FgACA,https://farm6.staticflickr.com/5323/30598935695_41d6cedfce_s.jpg,ready,24.958672,,10134557@N08,75,30598935695,100,https://farm6.staticflickr.com/5323/30598935695_41d6cedfce_t.jpg,#office for the next couple of days,25945233,0,0,0,2016-10-27 16:12:46,6,41d6cedfce,60.161808,16,0,uploaded:by=instagram,photo,75,instagramapp square squareformat iphoneography uploaded:by=instagram rise,0,0,1,0,1477573966,320,1080,1024,500,https://farm6.staticflickr.com/5323/30598935695_41d6cedfce_z.jpg,0,800,1024,500,320,1,1080,800,https://farm6.staticflickr.com/5323/30598935695_41d6cedfce_q.jpg,5323,https://farm6.staticflickr.com/5323/30598935695_16fefdd727_o.jpg,https://farm6.staticflickr.com/5323/30598935695_41d6cedfce_n.jpg,https://farm6.staticflickr.com/5323/30598935695_41d6cedfce.jpg,https://farm6.staticflickr.com/5323/30598935695_41d6cedfce_b.jpg,640,150,0,240,100,https://farm6.staticflickr.com/5323/30598935695_41d6cedfce_c.jpg,240,640,150
19,19.0,,artispu,1,5793,https://farm9.staticflickr.com/8650/30598933095_c4d658d632_m.jpg,xApTvy1QULwhj_RKBQ,https://farm9.staticflickr.com/8650/30598933095_c4d658d632_s.jpg,ready,12.806250,3569,79585853@N05,75,30598933095,62,https://farm9.staticflickr.com/8650/30598933095_c4d658d632_t.jpg,Alps,12673564,0,0,0,2016-10-12 14:54:38,9,c4d658d632,47.056961,16,0,,photo,75,gemeindeheiligenblut kã¤rnten austria at alps fujifilmxt2 fujinonxf1655mmf28 mountains clouds,0,0,0,0,1477574026,320,5793,1024,500,https://farm9.staticflickr.com/8650/30598933095_c4d658d632_z.jpg,4,493,631,308,197,1,3569,800,https://farm9.staticflickr.com/8650/30598933095_c4d658d632_q.jpg,8650,https://farm9.staticflickr.com/8650/30598933095_84a543aa7a_o.jpg,https://farm9.staticflickr.com/8650/30598933095_c4d658d632_n.jpg,https://farm9.staticflickr.com/8650/30598933095_c4d658d632.jpg,https://farm9.staticflickr.com/8650/30598933095_c4d658d632_b.jpg,640,150,0,148,100,https://farm9.staticflickr.com/8650/30598933095_c4d658d632_c.jpg,240,394,150
20,20.0,,,1,,https://farm6.staticflickr.com/5331/29966847324_5ec0b5bcaa_m.jpg,mWKdSChUV7KCegqiPA,https://farm6.staticflickr.com/5331/29966847324_5ec0b5bcaa_s.jpg,ready,32.855870,,113977156@N05,75,29966847324,100,https://farm6.staticflickr.com/5331/29966847324_5ec0b5bcaa_t.jpg,upload,55865370,0,0,0,2016-10-27 06:12:23,6,5ec0b5bcaa,39.967279,16,0,uploaded:by=instagram,photo,75,instagramapp square squareformat iphoneography uploaded:by=instagram,0,0,1,0,1477573943,256,750,750,400,https://farm6.staticflickr.com/5331/29966847324_5ec0b5bcaa_z.jpg,0,800,937,500,320,1,937,640,https://farm6.staticflickr.com/5331/29966847324_5ec0b5bcaa_q.jpg,5331,https://farm6.staticflickr.com/5331/29966847324_a50eded19e_o.jpg,https://farm6.staticflickr.com/5331/29966847324_5ec0b5bcaa_n.jpg,https://farm6.staticflickr.com/5331/29966847324_5ec0b5bcaa.jpg,https://farm6.staticflickr.com/5331/29966847324_5ec0b5bcaa_b.jpg,512,150,0,240,80,https://farm6.staticflickr.com/5331/29966847324_5ec0b5bcaa_c.jpg,192,640,150
